Learning Rate: 0.001
Batch Size: 64
Number of Epochs: 500
Model Name: my_cool_model
Data Path: /home/mkhokhlo/projects/kotelnikov/data_lstm_august24_PDET_left_right.csv
Feature_names: ['ampl', 'BandwidthesHz', 'Bottom', 'flash_periods', 'flash_seconds', 'frac_band', 'freq', 'left', 'phase', 'Psi0', 'right', 'timeSignal', 'top', 'time_sincelast']
Starting to train for the first pair 0_1, results are saved /home/mkhokhlo/projects/kotelnikov/scripts/scripts/results/0_1
verification Left,  ampl
verification Left,  BandwidthesHz
(21600, 2)
(21600,)
Epoch 218, Loss: 0.3870, Accuracy: 0.8098
Epoch 219, Loss: 0.3870, Accuracy: 0.8102
Epoch 220, Loss: 0.3870, Accuracy: 0.8094
Epoch 221, Loss: 0.3872, Accuracy: 0.8109
Epoch 222, Loss: 0.3872, Accuracy: 0.8096
Epoch 223, Loss: 0.3870, Accuracy: 0.8107
Epoch 224, Loss: 0.3871, Accuracy: 0.8100
Epoch 225, Loss: 0.3870, Accuracy: 0.8104
Epoch 226, Loss: 0.3876, Accuracy: 0.8100
Epoch 227, Loss: 0.3869, Accuracy: 0.8102
Epoch 228, Loss: 0.3868, Accuracy: 0.8093
Epoch 229, Loss: 0.3869, Accuracy: 0.8105
Epoch 230, Loss: 0.3870, Accuracy: 0.8093
Epoch 231, Loss: 0.3871, Accuracy: 0.8094
Epoch 232, Loss: 0.3869, Accuracy: 0.8092
Epoch 233, Loss: 0.3871, Accuracy: 0.8101
Epoch 234, Loss: 0.3872, Accuracy: 0.8098
Epoch 235, Loss: 0.3870, Accuracy: 0.8104
Epoch 236, Loss: 0.3873, Accuracy: 0.8099
Epoch 237, Loss: 0.3872, Accuracy: 0.8096
Epoch 238, Loss: 0.3875, Accuracy: 0.8093
Epoch 239, Loss: 0.3868, Accuracy: 0.8102
Epoch 240, Loss: 0.3873, Accuracy: 0.8097
Epoch 241, Loss: 0.3865, Accuracy: 0.8099
Epoch 242, Loss: 0.3868, Accuracy: 0.8104
Epoch 243, Loss: 0.3866, Accuracy: 0.8100
Epoch 244, Loss: 0.3870, Accuracy: 0.8108
Epoch 245, Loss: 0.3874, Accuracy: 0.8105
Epoch 246, Loss: 0.3868, Accuracy: 0.8094
Epoch 247, Loss: 0.3866, Accuracy: 0.8103
Epoch 248, Loss: 0.3870, Accuracy: 0.8110
